1,"14th October 2017 05:42:37 PM",18:21,"Меркель хочет обсудить отношения Брюсселя и Анкары на саммите ЕС",http://www.eurointegration.com.ua/rus/news/2017/10/14/7072343/,"Канцлер Германии Ангела Меркель поднимет тему отношений Брюсселя и Анкары на саммите Евросоюза 19-20 октября, но пока не ожидает решения по поводу возможного прекращения переговоров о вступлении Турции в ЕС.",
2,"14th October 2017 05:42:37 PM",18:18,"<em>фото, видео </em>Шествие националистов: Идут Майданом, зажгли факелы и фаеры",/rus/news/2017/10/14/7158393/,"Шествие националистов ко Дню защитника Украины двинулось по центральным улицам Киева к Контрактовой площади. Фото, видео",
3,"14th October 2017 05:42:37 PM",18:06,"Против российской шахты Ахметова начато дело о банкротстве",http://www.epravda.com.ua/rus/news/2017/10/14/630112/,"Арбитражный суд Ростовской области назначил на 1 ноября 2017 гогда рассмотрение обоснованности заявления о признании банкротом АО Шахтоуправление Обуховская, которое входит в холдинг ДТЭК бизнесмена Рината Ахметова.",
4,"14th October 2017 05:42:37 PM",17:51,"ФСБ РФ заявила о задержании 6 граждан Украины ""за контрабанду""",/rus/news/2017/10/14/7158390/,"В ФСБ сообщили о задержании сотрудниками российских спецслужб 6 граждан Украины, ""нарушивших российскую госграницу с целью контрабанды около 20 т сельхозпродукции"".",
5,"14th October 2017 05:42:37 PM",17:18,"<em>видео </em>В центре Киева мужчину задержали за нацистское приветствие ",/rus/news/2017/10/14/7158387/,"В центре Киева, где националисты собираются перед шествием в &#8203;&#8203;честь Дня защитника Украины задержали мужчину за нацистское приветствие. Видео",
6,"14th October 2017 05:42:37 PM",17:02,"Половина чехов до сих пор не определилась, за кого голосовать на выборах – опрос",http://www.eurointegration.com.ua/rus/news/2017/10/14/7072342/,"51% граждан Чехии до сих пор не определились с тем, за кого отдать голос на парламентских выборах 21-22 октября.",
7,"14th October 2017 05:42:37 PM",16:58,"Медведчук заступился за чиновников, которых хотят штрафовать за поездки в РФ",/rus/news/2017/10/14/7158383/,"Виктор Медведчук считает, что введение административной ответственности для украинских чиновников за посещение России направлено ""на пополнение казны или наказание своих граждан"".",
8,"14th October 2017 05:42:37 PM",16:38,"""Нацкорпус"" планирует возобновить акции по блокированию российского бизнеса",/rus/news/2017/10/14/7158380/,"Партия ""Национальный корпус"" планирует возобновить акции по блокированию российского бизнеса в Украине, акции начнутся в конце осени.",
9,"14th October 2017 05:42:37 PM",16:32,"В Крыму задержили более 30 участников одиночных пикетов",/rus/news/2017/10/14/7158379/,"По сообщению общественной организации ""Крымская солидарность"", в аннексированном Крыму силовики задержали более трех десятков активистов, большинство из которых потом отпустили.",
10,"14th October 2017 05:42:37 PM",16:19,"Супрун: К 2020 году финансирование здравоохранения увеличат до 85 млрд ",/rus/news/2017/10/14/7158377/,"Объем финансирования сферы здравоохранения будет увеличен к 2020 году до 85 млрд гривен.",
